MerchantKey,MerchantID,MerchantCategory,BusinessSize,State,City,SettlementCycle,PartnerSince,MerchantTenure
1530,MER01530,Healthcare,Small,Delhi,New Delhi,T+1,2024,2
1531,MER01531,Retail,Small,Maharashtra,Nagpur,T+1,2024,2
1532,MER01532,Food & Dining,Small,Delhi,New Delhi,T+1,2023,3
1533,MER01533,Healthcare,Small,Telangana,Warangal,T+1,2026,0
1534,MER01534,Fuel,Small,Gujarat,Vadodara,T+3,2025,1
1535,MER01535,Travel,Small,Tamil Nadu,Coimbatore,T+1,2025,1
1536,MER01536,Retail,Medium,Delhi,New Delhi,T+1,2020,6
1537,MER01537,Entertainment,Small,Gujarat,Vadodara,T+1,2026,0
1538,MER01538,Retail,Small,Rajasthan,Udaipur,T+2,2021,5
1539,MER01539,Education,Enterprise,West Bengal,Durgapur,T+1,2025,1
1540,MER01540,Travel,Small,Maharashtra,Mumbai,T+1,2023,3
1541,MER01541,Utilities,Medium,Karnataka,Mysuru,T+1,2026,0
1542,MER01542,Food & Dining,Medium,Rajasthan,Jodhpur,T+1,2019,7
1543,MER01543,Entertainment,Small,West Bengal,Kolkata,T+1,2019,7
1544,MER01544,Food & Dining,Enterprise,Telangana,Warangal,T+3,2026,0
1545,MER01545,Travel,Small,Gujarat,Vadodara,T+2,2026,0
1546,MER01546,Government,Small,Tamil Nadu,Coimbatore,T+1,2021,5
1547,MER01547,E-Commerce,Small,Rajasthan,Jodhpur,T+2,2026,0
1548,MER01548,Retail,Small,Karnataka,Bengaluru,T+1,2023,3
1549,MER01549,Food & Dining,Small,Maharashtra,Pune,T+1,2022,4
1550,MER01550,Food & Dining,Small,Maharashtra,Pune,T+1,2024,2
1551,MER01551,Utilities,Medium,Karnataka,Bengaluru,T+1,2026,0
1552,MER01552,Retail,Small,West Bengal,Siliguri,T+2,2026,0
1553,MER01553,Food & Dining,Small,Karnataka,Mangaluru,T+1,2024,2
1554,MER01554,Utilities,Small,Tamil Nadu,Coimbatore,T+1,2026,0
1555,MER01555,Retail,Small,Maharashtra,Nagpur,T+1,2024,2
1556,MER01556,Utilities,Medium,Kerala,Kochi,T+1,2022,4
1557,MER01557,Healthcare,Small,Tamil Nadu,Coimbatore,T+1,2022,4
1558,MER01558,Fuel,Small,Gujarat,Vadodara,T+1,2025,1
1559,MER01559,Utilities,Medium,Rajasthan,Udaipur,T+3,2026,0
1560,MER01560,Retail,Enterprise,Delhi,New Delhi,T+1,2026,0
1561,MER01561,Retail,Small,West Bengal,Durgapur,T+1,2026,0
1562,MER01562,Retail,Medium,Maharashtra,Nagpur,T+1,2024,2
1563,MER01563,Food & Dining,Small,Kerala,Thiruvananthapuram,T+1,2025,1
1564,MER01564,Retail,Small,West Bengal,Siliguri,T+1,2023,3
1565,MER01565,E-Commerce,Enterprise,Tamil Nadu,Chennai,T+1,2026,0
1566,MER01566,Travel,Enterprise,Kerala,Kochi,T+1,2022,4
1567,MER01567,Retail,Small,West Bengal,Kolkata,T+1,2021,5
1568,MER01568,Retail,Small,Uttar Pradesh,Lucknow,T+1,2025,1
1569,MER01569,Travel,Medium,Rajasthan,Jodhpur,T+1,2024,2
1570,MER01570,Retail,Small,Karnataka,Mangaluru,T+1,2022,4
1571,MER01571,Food & Dining,Small,West Bengal,Durgapur,T+1,2024,2
1572,MER01572,Utilities,Medium,Telangana,Warangal,T+1,2026,0
1573,MER01573,E-Commerce,Small,Maharashtra,Mumbai,T+1,2026,0
1574,MER01574,Healthcare,Enterprise,Maharashtra,Nagpur,T+1,2021,5
1575,MER01575,Food & Dining,Medium,West Bengal,Siliguri,T+1,2026,0
1576,MER01576,E-Commerce,Medium,Rajasthan,Jodhpur,T+2,2026,0
1577,MER01577,E-Commerce,Medium,Telangana,Hyderabad,T+1,2020,6
1578,MER01578,Utilities,Small,Rajasthan,Jodhpur,T+1,2026,0
1579,MER01579,Healthcare,Small,Karnataka,Mysuru,T+1,2026,0
1580,MER01580,E-Commerce,Small,West Bengal,Durgapur,T+1,2022,4
1581,MER01581,Food & Dining,Small,Maharashtra,Pune,T+1,2021,5
1582,MER01582,E-Commerce,Small,Tamil Nadu,Madurai,T+1,2025,1
1583,MER01583,Retail,Small,Uttar Pradesh,Noida,T+1,2019,7
1584,MER01584,Travel,Small,Maharashtra,Nagpur,T+1,2022,4
1585,MER01585,E-Commerce,Small,Maharashtra,Pune,T+1,2024,2
1586,MER01586,Retail,Small,Maharashtra,Pune,T+1,2023,3
1587,MER01587,E-Commerce,Medium,Gujarat,Vadodara,T+1,2019,7
1588,MER01588,Utilities,Small,Karnataka,Bengaluru,T+1,2021,5
1589,MER01589,Food & Dining,Medium,Rajasthan,Jodhpur,T+1,2026,0
1590,MER01590,E-Commerce,Medium,Tamil Nadu,Madurai,T+2,2019,7
1591,MER01591,Healthcare,Enterprise,West Bengal,Kolkata,T+1,2025,1
1592,MER01592,Food & Dining,Small,Delhi,New Delhi,T+1,2024,2
1593,MER01593,E-Commerce,Small,Maharashtra,Mumbai,T+3,2026,0
1594,MER01594,Travel,Small,Maharashtra,Nagpur,T+1,2023,3
1595,MER01595,Retail,Small,Karnataka,Bengaluru,T+1,2024,2
1596,MER01596,Entertainment,Medium,Tamil Nadu,Coimbatore,T+2,2019,7
1597,MER01597,Healthcare,Enterprise,Rajasthan,Udaipur,T+2,2023,3
1598,MER01598,Travel,Small,Kerala,Kochi,T+1,2026,0
1599,MER01599,Fuel,Small,Delhi,New Delhi,T+1,2023,3
1600,MER01600,E-Commerce,Small,Delhi,New Delhi,T+2,2023,3
1601,MER01601,Utilities,Small,Kerala,Kozhikode,T+1,2021,5
1602,MER01602,Fuel,Small,Maharashtra,Pune,T+1,2021,5
1603,MER01603,Retail,Small,Rajasthan,Jaipur,T+1,2024,2
1604,MER01604,Food & Dining,Small,Tamil Nadu,Chennai,T+1,2024,2
1605,MER01605,Retail,Medium,Rajasthan,Udaipur,T+2,2024,2
1606,MER01606,Education,Small,Tamil Nadu,Chennai,T+1,2024,2
1607,MER01607,Food & Dining,Small,Gujarat,Surat,T+1,2025,1
1608,MER01608,Food & Dining,Enterprise,Karnataka,Mangaluru,T+1,2026,0
1609,MER01609,E-Commerce,Small,Uttar Pradesh,Kanpur,T+2,2022,4
1610,MER01610,E-Commerce,Small,Karnataka,Mysuru,T+1,2025,1
1611,MER01611,E-Commerce,Medium,Maharashtra,Nagpur,T+1,2025,1
1612,MER01612,Education,Small,Gujarat,Surat,T+2,2025,1
1613,MER01613,Food & Dining,Small,West Bengal,Kolkata,T+1,2024,2
1614,MER01614,Retail,Small,West Bengal,Kolkata,T+1,2025,1
1615,MER01615,Retail,Small,Telangana,Hyderabad,T+1,2023,3
1616,MER01616,Travel,Medium,Tamil Nadu,Coimbatore,T+1,2023,3
1617,MER01617,Retail,Medium,Telangana,Hyderabad,T+2,2026,0
1618,MER01618,E-Commerce,Enterprise,Telangana,Warangal,T+1,2026,0
1619,MER01619,Food & Dining,Small,Telangana,Hyderabad,T+1,2024,2
1620,MER01620,E-Commerce,Small,Kerala,Thiruvananthapuram,T+1,2023,3
1621,MER01621,Healthcare,Small,Karnataka,Bengaluru,T+1,2026,0
1622,MER01622,Entertainment,Enterprise,Delhi,New Delhi,T+1,2025,1
1623,MER01623,Utilities,Small,West Bengal,Kolkata,T+1,2021,5
1624,MER01624,Fuel,Small,Telangana,Hyderabad,T+2,2026,0
1625,MER01625,Fuel,Small,Tamil Nadu,Madurai,T+1,2023,3
1626,MER01626,Government,Small,Maharashtra,Pune,T+1,2023,3
1627,MER01627,Retail,Small,Telangana,Warangal,T+1,2021,5
1628,MER01628,E-Commerce,Medium,Delhi,New Delhi,T+1,2021,5
1629,MER01629,Utilities,Medium,Uttar Pradesh,Noida,T+1,2023,3
1630,MER01630,Retail,Small,Tamil Nadu,Chennai,T+2,2022,4
1631,MER01631,E-Commerce,Medium,Telangana,Warangal,T+1,2022,4
1632,MER01632,Utilities,Small,Telangana,Warangal,T+1,2025,1
1633,MER01633,Entertainment,Enterprise,Uttar Pradesh,Lucknow,T+1,2024,2
1634,MER01634,Utilities,Medium,Delhi,New Delhi,T+1,2023,3
1635,MER01635,Food & Dining,Small,Delhi,New Delhi,T+3,2024,2
1636,MER01636,Fuel,Medium,Uttar Pradesh,Kanpur,T+2,2022,4
1637,MER01637,Retail,Enterprise,Gujarat,Surat,T+1,2026,0
1638,MER01638,Education,Enterprise,Uttar Pradesh,Kanpur,T+1,2020,6
1639,MER01639,Entertainment,Small,Tamil Nadu,Chennai,T+2,2023,3
1640,MER01640,Retail,Small,Uttar Pradesh,Noida,T+1,2024,2
1641,MER01641,Fuel,Medium,Kerala,Kozhikode,T+1,2021,5
1642,MER01642,Travel,Medium,Karnataka,Mysuru,T+2,2024,2
1643,MER01643,Retail,Small,Telangana,Hyderabad,T+1,2024,2
1644,MER01644,Utilities,Small,Maharashtra,Pune,T+1,2026,0
1645,MER01645,E-Commerce,Small,Karnataka,Mysuru,T+1,2021,5
1646,MER01646,Entertainment,Small,Kerala,Kozhikode,T+1,2022,4
1647,MER01647,E-Commerce,Small,Maharashtra,Nagpur,T+1,2024,2
1648,MER01648,Healthcare,Small,Karnataka,Mangaluru,T+1,2024,2
1649,MER01649,E-Commerce,Small,Maharashtra,Nagpur,T+1,2022,4
1650,MER01650,Fuel,Medium,Tamil Nadu,Chennai,T+1,2026,0
1651,MER01651,Utilities,Small,Kerala,Thiruvananthapuram,T+2,2024,2
1652,MER01652,Utilities,Medium,West Bengal,Durgapur,T+2,2021,5
1653,MER01653,Entertainment,Small,Rajasthan,Udaipur,T+1,2025,1
1654,MER01654,Healthcare,Small,Tamil Nadu,Chennai,T+1,2025,1
1655,MER01655,Food & Dining,Small,Karnataka,Mysuru,T+1,2025,1
1656,MER01656,Food & Dining,Small,Uttar Pradesh,Noida,T+2,2021,5
1657,MER01657,Retail,Medium,Maharashtra,Pune,T+2,2025,1
1658,MER01658,Food & Dining,Small,Maharashtra,Mumbai,T+1,2025,1
1659,MER01659,Food & Dining,Medium,Maharashtra,Nagpur,T+1,2026,0
1660,MER01660,E-Commerce,Small,Telangana,Hyderabad,T+2,2026,0
1661,MER01661,Entertainment,Small,Delhi,New Delhi,T+1,2022,4
1662,MER01662,Education,Small,Karnataka,Mangaluru,T+1,2024,2
1663,MER01663,Retail,Medium,Maharashtra,Nagpur,T+1,2026,0
1664,MER01664,Travel,Enterprise,Uttar Pradesh,Kanpur,T+3,2021,5
1665,MER01665,Fuel,Small,Uttar Pradesh,Lucknow,T+1,2026,0
1666,MER01666,Utilities,Medium,Maharashtra,Mumbai,T+1,2025,1
1667,MER01667,E-Commerce,Small,Telangana,Hyderabad,T+1,2024,2
1668,MER01668,Food & Dining,Small,Delhi,New Delhi,T+2,2024,2
1669,MER01669,Entertainment,Medium,Karnataka,Mysuru,T+1,2026,0
1670,MER01670,Healthcare,Small,Karnataka,Bengaluru,T+1,2025,1
1671,MER01671,Retail,Small,Telangana,Warangal,T+1,2022,4
1672,MER01672,Fuel,Small,Tamil Nadu,Coimbatore,T+1,2021,5
1673,MER01673,Retail,Small,Maharashtra,Mumbai,T+2,2022,4
1674,MER01674,Education,Medium,Rajasthan,Udaipur,T+1,2021,5
1675,MER01675,Travel,Medium,Rajasthan,Udaipur,T+1,2021,5
1676,MER01676,Entertainment,Medium,Uttar Pradesh,Lucknow,T+1,2021,5
1677,MER01677,Travel,Small,Delhi,New Delhi,T+1,2025,1
1678,MER01678,Travel,Small,West Bengal,Kolkata,T+2,2024,2
1679,MER01679,E-Commerce,Medium,Delhi,New Delhi,T+2,2021,5
1680,MER01680,Food & Dining,Small,Delhi,New Delhi,T+1,2025,1
1681,MER01681,Retail,Medium,Maharashtra,Nagpur,T+1,2023,3
1682,MER01682,Food & Dining,Enterprise,Rajasthan,Jaipur,T+1,2022,4
1683,MER01683,Education,Small,Delhi,New Delhi,T+1,2024,2
1684,MER01684,Utilities,Small,Rajasthan,Jodhpur,T+1,2022,4
1685,MER01685,Healthcare,Small,West Bengal,Kolkata,T+2,2024,2
1686,MER01686,Food & Dining,Small,Tamil Nadu,Chennai,T+1,2026,0
1687,MER01687,Food & Dining,Small,Gujarat,Vadodara,T+2,2020,6
1688,MER01688,Retail,Small,Gujarat,Ahmedabad,T+1,2024,2
1689,MER01689,Education,Enterprise,Rajasthan,Jaipur,T+1,2024,2
1690,MER01690,Entertainment,Medium,Telangana,Warangal,T+1,2021,5
1691,MER01691,Fuel,Small,Maharashtra,Mumbai,T+1,2020,6
1692,MER01692,Entertainment,Small,Rajasthan,Udaipur,T+3,2026,0
1693,MER01693,E-Commerce,Medium,Telangana,Hyderabad,T+1,2023,3
1694,MER01694,Healthcare,Enterprise,Delhi,New Delhi,T+1,2021,5
1695,MER01695,Retail,Small,Uttar Pradesh,Kanpur,T+3,2024,2
1696,MER01696,Food & Dining,Small,Delhi,New Delhi,T+2,2020,6
1697,MER01697,E-Commerce,Small,Uttar Pradesh,Lucknow,T+1,2024,2
1698,MER01698,Retail,Medium,Tamil Nadu,Chennai,T+1,2024,2
1699,MER01699,E-Commerce,Small,Gujarat,Ahmedabad,T+2,2026,0
1700,MER01700,Retail,Medium,West Bengal,Siliguri,T+1,2020,6
1701,MER01701,Entertainment,Small,Maharashtra,Nagpur,T+2,2021,5
1702,MER01702,E-Commerce,Small,Delhi,New Delhi,T+1,2026,0
1703,MER01703,Utilities,Small,Maharashtra,Mumbai,T+1,2022,4
1704,MER01704,Retail,Medium,Telangana,Warangal,T+1,2020,6
1705,MER01705,Food & Dining,Small,Tamil Nadu,Coimbatore,T+1,2024,2
1706,MER01706,Retail,Small,Karnataka,Bengaluru,T+1,2021,5
1707,MER01707,Healthcare,Small,Karnataka,Mysuru,T+1,2024,2
1708,MER01708,Food & Dining,Small,Delhi,New Delhi,T+1,2026,0
1709,MER01709,E-Commerce,Medium,Gujarat,Ahmedabad,T+1,2021,5
1710,MER01710,Utilities,Small,Maharashtra,Mumbai,T+1,2026,0
1711,MER01711,E-Commerce,Small,Karnataka,Bengaluru,T+1,2025,1
1712,MER01712,E-Commerce,Small,Maharashtra,Nagpur,T+1,2024,2
1713,MER01713,Entertainment,Small,Gujarat,Ahmedabad,T+3,2024,2
1714,MER01714,E-Commerce,Small,Maharashtra,Pune,T+1,2026,0
1715,MER01715,Utilities,Small,Uttar Pradesh,Kanpur,T+1,2025,1
1716,MER01716,Retail,Small,Rajasthan,Udaipur,T+1,2022,4
1717,MER01717,Retail,Medium,Maharashtra,Pune,T+1,2021,5
1718,MER01718,Food & Dining,Small,Delhi,New Delhi,T+2,2020,6
1719,MER01719,Food & Dining,Small,Uttar Pradesh,Kanpur,T+1,2025,1
1720,MER01720,Travel,Small,Karnataka,Bengaluru,T+3,2020,6
1721,MER01721,Entertainment,Medium,West Bengal,Durgapur,T+1,2026,0
1722,MER01722,Retail,Small,Delhi,New Delhi,T+1,2023,3
1723,MER01723,Healthcare,Small,Delhi,New Delhi,T+1,2020,6
1724,MER01724,Fuel,Enterprise,Uttar Pradesh,Kanpur,T+1,2022,4
1725,MER01725,Utilities,Small,Rajasthan,Jodhpur,T+1,2024,2
1726,MER01726,Utilities,Small,Gujarat,Ahmedabad,T+2,2022,4
1727,MER01727,Food & Dining,Enterprise,Gujarat,Surat,T+1,2025,1
1728,MER01728,E-Commerce,Enterprise,Karnataka,Mysuru,T+1,2021,5
1729,MER01729,Retail,Medium,Rajasthan,Udaipur,T+3,2022,4
1730,MER01730,Healthcare,Small,Telangana,Hyderabad,T+2,2020,6
1731,MER01731,Government,Medium,West Bengal,Siliguri,T+1,2020,6
1732,MER01732,Fuel,Small,Karnataka,Mysuru,T+1,2022,4
1733,MER01733,Food & Dining,Small,Karnataka,Bengaluru,T+2,2026,0
1734,MER01734,Utilities,Small,Delhi,New Delhi,T+1,2020,6
1735,MER01735,Food & Dining,Enterprise,Kerala,Kochi,T+1,2020,6
1736,MER01736,E-Commerce,Small,Gujarat,Surat,T+2,2026,0
1737,MER01737,Food & Dining,Small,Rajasthan,Jaipur,T+1,2021,5
1738,MER01738,Utilities,Small,Uttar Pradesh,Noida,T+1,2025,1
1739,MER01739,Food & Dining,Small,Uttar Pradesh,Noida,T+2,2022,4
1740,MER01740,Retail,Medium,West Bengal,Siliguri,T+1,2019,7
1741,MER01741,Retail,Small,Telangana,Hyderabad,T+1,2026,0
1742,MER01742,Travel,Enterprise,Karnataka,Mangaluru,T+1,2022,4
1743,MER01743,Food & Dining,Small,Uttar Pradesh,Kanpur,T+1,2022,4
1744,MER01744,Travel,Small,Tamil Nadu,Madurai,T+1,2025,1
1745,MER01745,Retail,Small,West Bengal,Kolkata,T+1,2022,4
1746,MER01746,Government,Medium,Maharashtra,Nagpur,T+1,2022,4
1747,MER01747,E-Commerce,Small,Uttar Pradesh,Noida,T+3,2024,2
1748,MER01748,Retail,Small,Maharashtra,Pune,T+1,2020,6
1749,MER01749,Fuel,Medium,Kerala,Kochi,T+1,2020,6
1750,MER01750,Fuel,Medium,Kerala,Kozhikode,T+1,2024,2
1751,MER01751,Food & Dining,Small,Delhi,New Delhi,T+1,2022,4
1752,MER01752,Healthcare,Small,West Bengal,Durgapur,T+1,2024,2
1753,MER01753,Healthcare,Medium,Karnataka,Mangaluru,T+1,2022,4
1754,MER01754,Retail,Small,Karnataka,Mangaluru,T+2,2025,1
1755,MER01755,E-Commerce,Medium,Maharashtra,Mumbai,T+2,2026,0
1756,MER01756,Entertainment,Medium,Telangana,Warangal,T+1,2022,4
1757,MER01757,Food & Dining,Small,Gujarat,Surat,T+2,2026,0
1758,MER01758,E-Commerce,Small,Tamil Nadu,Coimbatore,T+3,2024,2
1759,MER01759,Retail,Small,Kerala,Kozhikode,T+1,2025,1
1760,MER01760,E-Commerce,Medium,Rajasthan,Udaipur,T+1,2021,5
1761,MER01761,Travel,Medium,Kerala,Thiruvananthapuram,T+1,2021,5
1762,MER01762,Utilities,Enterprise,Uttar Pradesh,Lucknow,T+2,2023,3
1763,MER01763,Retail,Small,Uttar Pradesh,Lucknow,T+1,2026,0
1764,MER01764,Food & Dining,Medium,Gujarat,Vadodara,T+2,2021,5
1765,MER01765,Food & Dining,Medium,Rajasthan,Jodhpur,T+1,2026,0
1766,MER01766,Fuel,Medium,Telangana,Hyderabad,T+1,2023,3
1767,MER01767,Food & Dining,Small,Gujarat,Ahmedabad,T+1,2026,0
1768,MER01768,Retail,Small,Karnataka,Mangaluru,T+3,2022,4
1769,MER01769,Healthcare,Medium,Kerala,Kozhikode,T+1,2025,1
1770,MER01770,Government,Medium,West Bengal,Kolkata,T+2,2026,0
1771,MER01771,Utilities,Medium,Tamil Nadu,Chennai,T+1,2024,2
1772,MER01772,Travel,Medium,Karnataka,Bengaluru,T+1,2025,1
1773,MER01773,Education,Medium,Tamil Nadu,Coimbatore,T+1,2024,2
1774,MER01774,Food & Dining,Small,Gujarat,Vadodara,T+1,2025,1
1775,MER01775,Retail,Small,Delhi,New Delhi,T+2,2025,1
1776,MER01776,Retail,Enterprise,Maharashtra,Mumbai,T+2,2024,2
1777,MER01777,Retail,Small,Telangana,Warangal,T+1,2019,7
1778,MER01778,E-Commerce,Small,Delhi,New Delhi,T+1,2021,5
1779,MER01779,Travel,Medium,Uttar Pradesh,Noida,T+2,2021,5
1780,MER01780,Food & Dining,Small,Telangana,Warangal,T+1,2020,6
1781,MER01781,Retail,Enterprise,Tamil Nadu,Coimbatore,T+2,2026,0
1782,MER01782,Education,Enterprise,Karnataka,Mysuru,T+1,2025,1
1783,MER01783,E-Commerce,Medium,Karnataka,Bengaluru,T+1,2024,2
1784,MER01784,Healthcare,Medium,Rajasthan,Jaipur,T+2,2026,0
1785,MER01785,Entertainment,Small,Delhi,New Delhi,T+3,2023,3
1786,MER01786,Healthcare,Small,Uttar Pradesh,Kanpur,T+2,2025,1
1787,MER01787,Food & Dining,Small,Delhi,New Delhi,T+1,2021,5
1788,MER01788,Travel,Small,Karnataka,Bengaluru,T+1,2025,1
1789,MER01789,Retail,Medium,Rajasthan,Udaipur,T+1,2021,5
1790,MER01790,E-Commerce,Small,Karnataka,Mangaluru,T+2,2026,0
1791,MER01791,Travel,Small,Kerala,Kozhikode,T+2,2026,0
1792,MER01792,Government,Medium,Tamil Nadu,Chennai,T+1,2024,2
1793,MER01793,Travel,Small,Karnataka,Bengaluru,T+1,2024,2
1794,MER01794,Fuel,Small,Delhi,New Delhi,T+3,2025,1
1795,MER01795,Retail,Medium,Delhi,New Delhi,T+1,2025,1
1796,MER01796,Retail,Enterprise,Kerala,Kozhikode,T+1,2026,0
1797,MER01797,Retail,Small,Uttar Pradesh,Noida,T+1,2021,5
1798,MER01798,Entertainment,Small,Karnataka,Mysuru,T+2,2025,1
1799,MER01799,E-Commerce,Medium,West Bengal,Durgapur,T+1,2025,1
1800,MER01800,Food & Dining,Small,Kerala,Kozhikode,T+1,2025,1
1801,MER01801,Retail,Small,West Bengal,Durgapur,T+1,2023,3
1802,MER01802,E-Commerce,Medium,Maharashtra,Pune,T+1,2026,0
1803,MER01803,Retail,Enterprise,Telangana,Warangal,T+2,2022,4
1804,MER01804,Food & Dining,Small,Maharashtra,Pune,T+1,2024,2
1805,MER01805,E-Commerce,Medium,Delhi,New Delhi,T+1,2026,0
1806,MER01806,Food & Dining,Small,Maharashtra,Mumbai,T+2,2021,5
1807,MER01807,E-Commerce,Small,Gujarat,Ahmedabad,T+1,2023,3
1808,MER01808,Food & Dining,Small,Tamil Nadu,Madurai,T+2,2025,1
1809,MER01809,Retail,Small,Uttar Pradesh,Lucknow,T+2,2025,1
1810,MER01810,E-Commerce,Small,Karnataka,Bengaluru,T+1,2025,1
1811,MER01811,Healthcare,Small,Karnataka,Mysuru,T+1,2021,5
1812,MER01812,E-Commerce,Small,Tamil Nadu,Coimbatore,T+1,2026,0
1813,MER01813,Food & Dining,Small,Maharashtra,Pune,T+1,2024,2
1814,MER01814,Food & Dining,Small,Rajasthan,Jodhpur,T+2,2021,5
1815,MER01815,Utilities,Enterprise,Tamil Nadu,Coimbatore,T+1,2020,6
1816,MER01816,E-Commerce,Enterprise,West Bengal,Durgapur,T+1,2025,1
1817,MER01817,Utilities,Small,Kerala,Thiruvananthapuram,T+1,2023,3
1818,MER01818,Food & Dining,Medium,Karnataka,Mysuru,T+1,2025,1
1819,MER01819,Travel,Small,Gujarat,Vadodara,T+2,2026,0
1820,MER01820,Entertainment,Small,Maharashtra,Pune,T+1,2020,6
1821,MER01821,Healthcare,Medium,Kerala,Kozhikode,T+1,2024,2
1822,MER01822,Utilities,Small,Maharashtra,Pune,T+1,2021,5
1823,MER01823,Healthcare,Medium,Rajasthan,Udaipur,T+1,2021,5
1824,MER01824,Retail,Medium,Delhi,New Delhi,T+1,2023,3
1825,MER01825,Entertainment,Small,Karnataka,Mangaluru,T+1,2024,2
1826,MER01826,Retail,Small,Tamil Nadu,Madurai,T+1,2022,4
1827,MER01827,Retail,Enterprise,Maharashtra,Mumbai,T+2,2020,6
1828,MER01828,Retail,Small,Tamil Nadu,Coimbatore,T+1,2025,1
1829,MER01829,Utilities,Medium,Telangana,Warangal,T+2,2022,4
1830,MER01830,E-Commerce,Small,West Bengal,Siliguri,T+1,2025,1
1831,MER01831,Food & Dining,Small,West Bengal,Kolkata,T+3,2023,3
1832,MER01832,Retail,Small,Rajasthan,Jodhpur,T+1,2026,0
1833,MER01833,Travel,Small,Maharashtra,Nagpur,T+2,2020,6
1834,MER01834,E-Commerce,Medium,Karnataka,Bengaluru,T+1,2026,0
1835,MER01835,Retail,Medium,Delhi,New Delhi,T+1,2022,4
1836,MER01836,Food & Dining,Medium,Maharashtra,Nagpur,T+2,2024,2
1837,MER01837,Education,Medium,Tamil Nadu,Chennai,T+2,2023,3
1838,MER01838,Government,Small,Kerala,Kozhikode,T+1,2023,3
1839,MER01839,Education,Small,Maharashtra,Nagpur,T+1,2022,4
1840,MER01840,Utilities,Small,Uttar Pradesh,Kanpur,T+2,2024,2
1841,MER01841,Utilities,Medium,Kerala,Thiruvananthapuram,T+2,2026,0
1842,MER01842,Retail,Small,Delhi,New Delhi,T+1,2026,0
1843,MER01843,Healthcare,Medium,Karnataka,Mysuru,T+2,2026,0
1844,MER01844,Entertainment,Small,Maharashtra,Nagpur,T+2,2026,0
1845,MER01845,Utilities,Small,Uttar Pradesh,Lucknow,T+1,2022,4
1846,MER01846,Fuel,Small,Kerala,Kochi,T+1,2025,1
1847,MER01847,Travel,Enterprise,Gujarat,Surat,T+2,2025,1
1848,MER01848,Healthcare,Medium,Karnataka,Mangaluru,T+1,2021,5
1849,MER01849,Retail,Small,Maharashtra,Pune,T+1,2026,0
1850,MER01850,E-Commerce,Enterprise,Uttar Pradesh,Kanpur,T+2,2022,4
1851,MER01851,Government,Small,Kerala,Kozhikode,T+1,2025,1
1852,MER01852,Education,Medium,Maharashtra,Mumbai,T+3,2025,1
1853,MER01853,Government,Small,Telangana,Hyderabad,T+2,2022,4
1854,MER01854,Healthcare,Small,Kerala,Thiruvananthapuram,T+3,2026,0
1855,MER01855,E-Commerce,Small,Delhi,New Delhi,T+1,2026,0
1856,MER01856,Travel,Enterprise,Karnataka,Bengaluru,T+2,2023,3
1857,MER01857,Travel,Enterprise,Delhi,New Delhi,T+2,2024,2
1858,MER01858,Fuel,Small,Kerala,Kochi,T+1,2019,7
1859,MER01859,Retail,Small,Tamil Nadu,Coimbatore,T+1,2026,0
1860,MER01860,Retail,Medium,Gujarat,Surat,T+1,2025,1
1861,MER01861,Utilities,Small,Rajasthan,Udaipur,T+1,2025,1
1862,MER01862,Travel,Small,Rajasthan,Udaipur,T+1,2025,1
1863,MER01863,Retail,Medium,Kerala,Thiruvananthapuram,T+1,2025,1
1864,MER01864,Food & Dining,Small,Uttar Pradesh,Noida,T+1,2026,0
1865,MER01865,Retail,Small,Uttar Pradesh,Lucknow,T+1,2024,2
1866,MER01866,Healthcare,Small,Gujarat,Vadodara,T+2,2023,3
1867,MER01867,Retail,Medium,Karnataka,Bengaluru,T+1,2021,5
1868,MER01868,Fuel,Medium,West Bengal,Siliguri,T+1,2026,0
1869,MER01869,Travel,Small,Uttar Pradesh,Noida,T+1,2025,1
1870,MER01870,Healthcare,Small,Delhi,New Delhi,T+1,2022,4
1871,MER01871,E-Commerce,Small,Maharashtra,Mumbai,T+1,2024,2
1872,MER01872,Government,Medium,Rajasthan,Udaipur,T+2,2021,5
1873,MER01873,Travel,Medium,Uttar Pradesh,Kanpur,T+1,2026,0
1874,MER01874,Retail,Medium,Delhi,New Delhi,T+1,2023,3
1875,MER01875,E-Commerce,Medium,Kerala,Kochi,T+2,2024,2
1876,MER01876,E-Commerce,Small,Uttar Pradesh,Noida,T+1,2024,2
1877,MER01877,Retail,Small,Maharashtra,Nagpur,T+1,2026,0
1878,MER01878,Retail,Enterprise,Maharashtra,Mumbai,T+1,2025,1
1879,MER01879,Travel,Small,Karnataka,Mysuru,T+1,2025,1
1880,MER01880,E-Commerce,Medium,Tamil Nadu,Madurai,T+1,2025,1
1881,MER01881,Retail,Medium,Karnataka,Mangaluru,T+1,2021,5
1882,MER01882,Entertainment,Small,Maharashtra,Nagpur,T+1,2026,0
1883,MER01883,E-Commerce,Small,Gujarat,Ahmedabad,T+2,2025,1
1884,MER01884,Healthcare,Small,Karnataka,Mysuru,T+1,2024,2
1885,MER01885,E-Commerce,Medium,Uttar Pradesh,Lucknow,T+3,2019,7
1886,MER01886,Utilities,Small,Rajasthan,Jaipur,T+2,2026,0
1887,MER01887,Retail,Small,Delhi,New Delhi,T+1,2026,0
1888,MER01888,Healthcare,Medium,Karnataka,Mangaluru,T+2,2026,0
1889,MER01889,Utilities,Medium,Telangana,Warangal,T+1,2024,2
